	Run	BioProject	Tissue	Sex	Species	Total sleep time per day (hr)	Platform	Instrument	LibrarySelection	Type	Sleep_Times	Sleep_Timing
145	ERR3294487	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
146	ERR3294488	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
147	ERR3294489	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
148	ERR3294490	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
149	ERR3294491	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
150	ERR3294508	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
151	ERR3294509	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
152	ERR3294510	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
153	ERR3294511	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
154	ERR3294512	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
155	ERR3294513	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
156	ERR3294514	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
157	ERR3294515	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
158	SRR18059454	PRJNA807711	blood	female	Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep	Once	Sleep at night
159	SRR18059455	PRJNA807711	blood	female	Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep	Once	Sleep at night
160	SRR18059456	PRJNA807711	blood	female	Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep	Once	Sleep at night
162	SRR20988134	PRJNA867673	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep	Once	Sleep at night
163	SRR20988135	PRJNA867673	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep	Once	Sleep at night
164	SRR20988137	PRJNA867673	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep	Once	Sleep at night
165	SRR20988138	PRJNA867673	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep	Once	Sleep at night
166	SRR20988139	PRJNA867673	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep	Once	Sleep at night
167	SRR20988140	PRJNA867673	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep	Once	Sleep at night
169	SRR20993199	PRJNA867700	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep	Once	Sleep at night
170	SRR20993200	PRJNA867700	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep	Once	Sleep at night
171	SRR20993201	PRJNA867700	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep	Once	Sleep at night
172	SRR20993202	PRJNA867700	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep	Once	Sleep at night
173	SRR20993203	PRJNA867700	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep	Once	Sleep at night
174	SRR20993204	PRJNA867700	blood		Goat	5.4	ILLUMINA	Illumina HiSeq 4000	POLYA	short sleep	Once	Sleep at night
194	SRR20210898	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep		Sleep at daytime
195	SRR20210899	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep		Sleep at daytime
196	SRR20210900	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep		Sleep at daytime
197	SRR20210901	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep		Sleep at daytime
198	SRR20210902	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep		Sleep at daytime
199	SRR20210903	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep		Sleep at daytime
200	SRR20210904	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep		Sleep at daytime
201	SRR20210905	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep		Sleep at daytime
202	SRR20210906	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep		Sleep at daytime
203	SRR20210907	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep		Sleep at daytime
204	SRR20210908	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep		Sleep at daytime
205	SRR20210909	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep		Sleep at daytime
206	SRR20210910	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep		Sleep at daytime
207	SRR20210911	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep		Sleep at daytime
208	SRR20210912	PRJNA858827	blood		Opossum	19.4	ILLUMINA	Illumina NovaSeq 6000	cDNA	long sleep		Sleep at daytime
